data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1-N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/mammography/datasets/TabDDPM/1.csv,0.7333,0,11183,15291,0.9194,0.9361,0.9359,0.9245,0.9134,0.9715,0.9685,0.8693,0.9333
./selection/mammography/datasets/TabDDPM/2.csv,0.7333,0,11183,15291,0.9093,0.9333,0.9397,0.9207,0.9027,0.9691,0.9653,0.8639,0.9295
./selection/mammography/datasets/TabDDPM/3.csv,0.8667,0,11183,15291,0.9115,0.9356,0.9387,0.9237,0.9092,0.9694,0.9671,0.8684,0.9323
./selection/mammography/datasets/TabDDPM/4.csv,0.7333,0,11183,15291,0.9339,0.9528,0.9599,0.944,0.9287,0.9799,0.9788,0.9036,0.9498
./selection/mammography/datasets/TabDDPM/5.csv,0.8667,4,11183,15291,0.9388,0.9536,0.9552,0.9453,0.9355,0.9799,0.9793,0.9051,0.9513
./selection/mammography/datasets/TabDDPM/6.csv,0.7333,0,11183,15291,0.9198,0.9431,0.9452,0.9328,0.9207,0.975,0.9726,0.8837,0.9403
./selection/mammography/datasets/TabDDPM/7.csv,0.7333,0,11183,15291,0.9107,0.9246,0.931,0.9101,0.8902,0.9635,0.9576,0.8459,0.9203
./selection/mammography/datasets/TabDDPM/8.csv,0.7333,0,11183,15291,0.9199,0.9377,0.9452,0.9259,0.9073,0.9674,0.9661,0.8728,0.9339
./selection/mammography/datasets/TabDDPM/9.csv,0.7333,0,11183,15291,0.9276,0.9436,0.9513,0.9329,0.9153,0.9747,0.9731,0.8848,0.9401
./selection/mammography/datasets/TabDDPM/10.csv,0.7333,0,11183,15291,0.9119,0.9341,0.9419,0.9215,0.902,0.9672,0.964,0.8654,0.9301
