data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc
./selection/wilt/datasets/SMOTEWB/1.csv,1.0,5,4839,6408,0.9953,0.9906,0.983,0.9892,0.9954,0.9989,0.9984,0.981,0.9912
./selection/wilt/datasets/SMOTEWB/2.csv,1.0,5,4839,6408,0.9953,0.9902,0.9822,0.9887,0.9954,0.9988,0.9983,0.9802,0.9909
./selection/wilt/datasets/SMOTEWB/3.csv,1.0,5,4839,6408,0.9953,0.9906,0.9839,0.9892,0.9945,0.9985,0.9974,0.981,0.9911
./selection/wilt/datasets/SMOTEWB/4.csv,1.0,5,4839,6408,0.9953,0.9906,0.9839,0.9892,0.9945,0.9987,0.9982,0.981,0.9911
./selection/wilt/datasets/SMOTEWB/5.csv,1.0,5,4839,6408,0.9953,0.9899,0.9821,0.9883,0.9945,0.9984,0.9973,0.9794,0.9904
./selection/wilt/datasets/SMOTEWB/6.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9988,0.9984,0.9802,0.9908
./selection/wilt/datasets/SMOTEWB/7.csv,1.0,5,4839,6408,0.9953,0.991,0.9839,0.9896,0.9954,0.999,0.9986,0.9818,0.9916
./selection/wilt/datasets/SMOTEWB/8.csv,1.0,5,4839,6408,0.9953,0.9906,0.983,0.9892,0.9954,0.9985,0.9974,0.981,0.9912
./selection/wilt/datasets/SMOTEWB/9.csv,1.0,5,4839,6408,0.9953,0.9906,0.9831,0.9892,0.9954,0.9988,0.9983,0.981,0.9912
./selection/wilt/datasets/SMOTEWB/10.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9987,0.9982,0.9802,0.9908
